Song,Artist,Genre,Likes,Reposts,Comments,Sound_Cloud_Link,SCUpload_Time,Snatched_on,Time_Difference
BASS F3V3R [001],ØTJE,Techno,7707,96,107,https://soundcloud.com/jasperotje/bass-f3v3r-otje,2023-01-21,2023-10-01,253.0
ANSBRO - Toulouse,BLACK/PLAGUE,Techno,13100,185,136,https://soundcloud.com/blackplaguerec/ansbro-toulouse,2022-08-25,2023-10-01,402.0
Craving Violence,MIT,Techno,7773,104,63,https://soundcloud.com/tim-van-osch-828855349/craving-violence,2022-11-25,2023-10-01,310.0
Rian Wood - Obsession [No Mercy],NO MERCY RECORDS,Techno,13300,196,79,https://soundcloud.com/no-mercy-label/rian-wood-obsession-nomercy,2022-07-08,2023-10-01,450.0
PER PLEKS - ROTTERDAM [REVISED RECORDS],PER PLEKS,hardtechno,5889,118,48,https://soundcloud.com/per_pleks/per-pleks-rotterdam-stream-edit,2023-01-20,2023-10-01,254.0
Premiere: WZX_O - Millennium [COUP023],The Finest Techno,Techno,14300,268,128,https://soundcloud.com/thefinesttechno/premiere-wzx_o-millennium-coup023,2022-07-28,2023-10-01,430.0
𝐏𝐑𝐄𝐌𝐈𝐄𝐑𝐄 | INFEED - Gucci Flip Flop [Carbone Records],INSANE INDUSTRY RECORDINGS,Techno,11400,197,97,https://soundcloud.com/insane-industry/infeed-gucci-flip-flop-carbone-records,2022-07-23,2023-10-01,435.0
Joann - Fetch Me Their Souls [JAH080],Jahanam,Rave,16400,"1,829","2,300",https://soundcloud.com/jahanamsound/joann-fetch-me-their-souls-jah080,2022-07-21,2023-10-01,437.0
Bring The Bass,APHØTIC,Techno,9527,140,88,https://soundcloud.com/aphotic_music/bring-the-bass,2022-05-09,2023-10-01,510.0
Hellfire (.wav),𝔞𝔯𝔱𝔦𝔰𝔱𝔢 𝔡𝔢𝔰 𝔱𝔢𝔫𝔢𝔟𝔯𝔢𝔰,Hard Techno,3559,49,31,https://soundcloud.com/artistedestenebres/luciid-hellfire,2022-12-26,2023-10-01,279.0
Premiere: Alex Farell - 3AM In Berlin (RCKLSS008),Techno Germany,Techno,12900,253,62,https://soundcloud.com/technogermany/premiere-alex-farell-3am-in-berlin-rcklss008,2022-09-03,2023-10-01,393.0
H! Dude - One More Song (Original Mix),DSR Digital / DOPE,Hard Techno,7153,152,67,https://soundcloud.com/dsrdigital/h-dude-one-more-song-original,2023-02-03,2023-10-01,240.0
FAsCHinGs ZuStAND [180er],[DER] VeRzoGeNe,Techno,3,Repost, ,https://soundcloud.com/derverzogene/faschings-zustand,2023-10-01,2023-10-01,0.0
BYØRN - Underground Hour,Taapion, ,4874,60,27,https://soundcloud.com/taapionrecords/byorn-underground-hour-taapion,2023-06-23,2023-10-01,100.0
Hypnatos - My Techno Is A Gurú,The Acid Mind Recordings,Techno,4719,91,40,https://soundcloud.com/theacidmindrec/hypnatos-my-techno-is-a-guru,2023-02-24,2023-10-01,219.0
Basswell & Onlynumbers - Fusion,Basswell,Techno,12500,"1,494","1,795",https://soundcloud.com/basswell-2/basswell-74185-fusion,2023-01-20,2023-10-01,254.0
Doruksen & Denis Dekay - Work It,Doruksen,Hard Techno,3865,53,24,https://soundcloud.com/doruksen/doruksen-denis-dekay-work-it,2023-05-05,2023-10-01,149.0
Loving Discharge (Original Mix),Serious K,Techno,2,1, ,https://soundcloud.com/seriousk89/serious-k-loving-discharge-original-mix,2023-10-01,2023-10-01,0.0
Stan Christ - Eradication,Deep Dimension,Techno,3055,52,11,https://soundcloud.com/deep-dimension-1/eradication,2023-02-06,2023-10-01,237.0
WTF,SIKOTI,Hard Techno,6590,75,24,https://soundcloud.com/sikotii/wtf,2023-05-26,2023-10-01,128.0
Remon Verhoeve - No Skanks [No Mercy],NO MERCY RECORDS,Techno,3789,71,21,https://soundcloud.com/no-mercy-label/remon-verhoeve-no-skanks-no-mercy,2023-04-04,2023-10-01,180.0
ANSBRO - Hardpoint,Guerrilla Radio,Techno,1830,22,5,https://soundcloud.com/guerrillaradiocollective/ansbro-hardpoint,2023-06-23,2023-10-01,100.0
Sparks Comp,Eczko,Techno,2088,35,27,https://soundcloud.com/mack-helsdon/sparks-comp-reasy-to-upload,2023-07-28,2023-10-01,65.0
Rotterdam,PER PLEKS,Electronic,2726,27,15,https://soundcloud.com/per_pleks/rotterdam,2023-01-20,2023-10-01,254.0
KSMS & USH - Rave Salvo,KSMS,Techno,6752,84,64,https://soundcloud.com/ksmstechno/ksms_ush-ravesalvo,2022-12-16,2023-10-01,289.0
Freak Unique - Old To The New (Original Mix),DSR Digital / DOPE,Hard Techno,2,1, ,https://soundcloud.com/dsrdigital/freak-unique-old-to-the-new-2,2023-10-01,2023-10-01,0.0
Bollmann - Rampage (Creeds Remix),Nulleins Records,Techno,9564,265,144,https://soundcloud.com/nulleinsrec/bollmann-rampage-creeds-remix,2023-09-07,2023-10-01,24.0
ARTLUS X TOM NAYLOR - FEEL GOOD,ARTLUS,Hard Techno,1474,32,21,https://soundcloud.com/artlus/artlus-x-tom-naylor-feel-good,2023-08-10,2023-10-01,52.0
PREMIERE: Veseli - Bass Gets Moved [IRVA001] FREEDL,Influence Records,Techno,11400,"2,140","2,584",https://soundcloud.com/influenceireland/veseli-bass-gets-moved,2023-04-10,2023-10-01,174.0
Fuck This,HOLY PRIEST,Electronic,6690,143,64,https://soundcloud.com/holypriestworld/fuck-this,2023-07-28,2023-10-01,65.0
Micky Hopkins - I Got That Techno [IRDL001] FREEDL,Influence Records,Techno,2671,375,419,https://soundcloud.com/influenceireland/micky-hopkins-i-got-that-techno-irdl001,2023-07-03,2023-10-01,90.0
